"want_to_help","want_to_therapy","want_to_science","want_to_fun","conf_math","conf_symb_log","conf_real_log","conf_sci_meth","conf_writing","conf_sci_reading","conf_govmt","conf_vacc","conf_excel","conf_prog","conf_arts","like_dog","like_cat","like_snake","like_turtle","like_bat","like_dolphin","like_dnd","like_toenail","like_football","like_olympics","like_pie","like_pi","gender","pronouns","handedness","hispanic","ethnicity","hair_color","eye_color","siblings","job","caffeine","grade_predict","units","hrs_tv","hrs_reading","hrs_working","hrs_sleeping","hrs_school_work","hrs_excersize","hrs_other","hrs_per_day","hs_gpa","exam_option","final_exam_pref"
"Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree",60.44,36.91,82.21,59.71,77.35,13.38,13.24,3.38,47.94,2.5,19.56,42.794,1.029,1.029,60,32.941,44.853,0.147,38.676,48.088,69.412,50.294,2.941,"Female","she/her","Right","Hispanic","White","Blonde","Hazel",1,"No","Yes",94.41,50,0.85,1.52,0,6.99,3.46,0.88,3.99,17.69,4,"No Preference","Yes"
"Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Agree",39.85,37.79,70.15,76.47,94.71,91.91,34.85,69.71,36.18,1.62,70.44,100,55,20.441,30,22.206,10.735,17.353,0,5,7.5,36.471,4.412,"Female","she/her","Right","Non-Hispanic","White","Brunette","Brown",2,"Yes","No",85.74,53,0,1.02,3.88,8.01,2.05,0.04,3.42,18.42,3.83,"Online","No"
"Strongly Agree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree",50.59,43.09,86.47,82.35,89.12,73.68,68.68,64.12,8.68,9.71,79.41,100,100,37.941,100,84.559,92.5,5.882,0,65,90.588,34.559,0,"Female","she/her","Right","Hispanic","White","Blonde","Green",0,"No","Yes",93.38,64,0,NA,3.92,8.05,5.05,1.98,6.53,25.53,3.83,"In-person","Yes"
"Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree",70.15,29.56,81.62,82.5,82.35,52.94,66.03,90.15,39.12,8.24,59.85,90.441,50.882,20.147,66.471,21.618,70.147,25,17.059,91.765,73.824,77.647,13.235,"Male","he/him","Right","Hispanic","White","Brunette","Blue",1,"No","No",86.62,39,1.69,2.54,0.92,7.69,3.42,1.13,10.24,27.63,3.97,"Online","No"
"Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Strongly Agree",70,81.18,82.06,93.68,47.94,71.91,79.85,74.85,13.97,1.91,50.74,91.324,81.471,92.647,77.353,28.382,75.588,2.353,2.794,33.676,55.441,65.147,1.912,"Male","he/him","Right","Non-Hispanic","White","Other","Brown",1,"Yes","No",92.5,68,0.46,0.46,5.96,10.06,4.2,2.96,8.61,32.71,3.31,"In-person","Yes"
"Strongly Agree","Strongly Agree","Somewhat Disagree","Strongly Agree",0,49.85,100,100,100,100,6.18,53.68,1.03,1.03,10.59,100,100,0,36.618,0,83.235,3.971,1.029,47.794,48.088,21.912,1.029,"Female","she/her","Right","Hispanic","White","Blonde","Brown",2,"Yes","Yes",90.88,85,0.32,2.01,2.15,8.36,5.44,1.98,3,23.26,3.78,"Online","Yes"
"Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Strongly Agree",70,50,90,10,100,3.97,48.68,65.44,1.03,1.03,1.03,90.588,100,15.294,51.912,2.5,100,1.029,1.029,77.5,76.618,100,2.5,"Female","she/her","Right","Hispanic","White","Blonde","Brown",3,"Yes","Yes",92.5,30,4.06,0,4.98,6.49,2.12,0.21,0.18,18.04,3.7,"Online","Yes"
"Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Agree",81.91,59.56,82.79,82.94,84.12,84.26,62.65,84.56,39.56,39.71,85.29,83.382,84.265,1.912,84.706,1.176,100,50.735,1.176,100,100,100,3.088,"Female","she/her","Right","Hispanic","Black","Other","Brown",3,"Yes","No",88.82,88,1.66,1.06,6.74,8.29,1.87,0.25,1.94,21.81,3.24,"Online","Yes"
"Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Strongly Agree",80.88,50.74,81.32,72.94,90.59,50.74,0.15,98.97,35.15,15,98.09,94.706,100,16.324,90.147,55.294,50.294,93.382,0.147,3.824,2.353,10.588,3.088,"Female","she/her","Right","Hispanic","Two or more","Brunette","Brown",1,"Yes","Yes",81.32,41,1.52,2.75,4.55,8.01,6.46,1.06,4.02,28.37,3.75,"In-person","No"
"Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree",84.95,82.65,82.65,90.59,60.88,73.24,51.03,51.91,40.74,30.88,30.74,100,100,36.618,100,20.735,100,10.441,1.765,30.882,55.588,94.118,60,"Female","she/her","Right","Hispanic","White","Brunette","Blue",2,"No","Yes",95,52,0.35,1.02,0,8.4,2.08,1.27,2.19,15.31,3.89,"Online","Yes"
